Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Year,Month,Season,Cleaned Review,Sentiment Score,Sentiment Label
economy class,1.0,1.0,1.0,1.0,1,no,2024,11,fall,trip verified flight ba 0560 arrived in rome on 11 december where all passenger received a sm from ba to say that their luggage had been left in london my wife and i completed the required form but were in a queue for 2 hour to have it checked ba s agent in rome believe the baggage would arrive on the last flight that night 10pm and would most likely be delivered next day nobody from ba in rome airport made contact with u to explain what happened and when bag would arrive we finally got our luggage delivered to u at 4pm on sunday 15 december the day before we were due to leave rome during the waiting period there wa no contact initiated by either ba or their rome agent and on several occasion when we called both rome and london help desk we received no update in 34 year of travelling together this ha never happened before and the sheer neglect in keeping u informed is disgusting sadly for ba we will never fly with it again and will share our horror story with others and strongly encourage them to fly with another airline i would give ba an overall rating of zero,-0.019444444444444434,negative
economy class,2.0,4.0,3.0,1.0,2,no,2024,12,winter,trip verified this wa the first time i flew british airway and it wa a huge disappointment while the seat is quite good the food is very simple and the service is subpar but not only that heathrow airport their hub is by far the worst large airport ive seen in europe when we landed in dc i had an email saying that my luggage stayed in london this wa last wednesday i have an airtag so i could follow my suitcase it came to washington the following day thursday ever since it been sitting in the airport british offer no mean of communication the online chat is a bot the bot tell me to call a number in england i did it another bot when you say you have in inquiry about luggage it sends you a link via sm and hang up no option to talk to a human in the claim form they gave me there a local phone which reach a voicemail i keep calling them 6 time today only and leaving message saying that the airtag show the suitcase in iad and offering to go pick it up so they dont need to deliver it no one reply to the voicemail so basically i am shut out with no luggage no information no customer service and no one to talk to,0.012972689075630256,positive
business class,4.0,3.0,1.0,1.0,1,no,2024,12,winter,trip verified pretty good flight but still some small thing that can be improved check in wa quick lounge wa good tasty food and well chosen wine disappointingly they had not secured a gate so we had to bus to the aircraft and it wa all a hot scrum i got the last bus to avoid the crush emirate turkish lufthansa qatar all had plane on gate why not ba pennypinching then it turned out the cabin crew forgot about those on the last bus so i had to ask for a welcome drink it came and the champagne wa actually cold well done ba first time they managed to serve champagne cold in my 10 year of flying with them big improvement cabin and seat were lovely a always i greatly prefer to the emirate whitegold bling drink service wa prompt ife wa good starter trout wa ok main chicken wa excellent cheese wa sold not cold a it should be wine were excellent we were not disturbed through the night so got a good sleep on a comfy bed cabin wa a bit too warm though for my personal preference wa woken up a asked and served a tasty breakfast small detail a it is impossible to get water to 100c at altitude maybe ba could warm the ceramic coffee cup so coffee retains it heat a bit longer pouring not quite hot coffee into a nice but cold china mug mean it is lukewarm instantly off the plane in record time 2 minute after parking bag were waiting for u on the belt excellent work by the ground staff overall 810 improvement point gate not bus to the plane dont forget passenger on the last bus or who board late but well before pushback standout cabin crew member wa miguel what a star,0.19002192982456137,positive
business class,5.0,5.0,5.0,4.0,5,yes,2024,12,winter,trip verified check in wa fine but no priorityfast track line for security or boarding there is only one lounge option for first class customer in mexico city which is the american airline admiral club which is abysmal there is a free bar serving cheap alcohol an awful food selection and nowhere to shower on board i find the seat really comfortable the crew were fantastic and im starting to really see some consistency in the quality of their first class crew the drink selection wa fine the food wa appalling we were the victim of their new supper service this is basically a dinner service with a lot le optionschoice no fishseafood option on either the starter or the main first choice of main unavailable a only two had been loaded the fillet steak so drying and overcooked that i heard at least three people send it back pretty impressive for a cabin of just eight passengersdreadful dessert and cheeseboard luggage off swiftly the other end so good to see priority tagging working,0.15203962703962703,positive
first class,5.0,5.0,3.0,4.0,4,yes,2024,11,fall,trip verified british airway is absolute rubbish i had to fly to amsterdam for an urgent appointment the flight wa cancelled last minute presumably due to bad weather theyve kept u at the gate saying the plane couldnt land while literally every plane from that airport wa taking off and landing with zero issue there wa another klm flight to amsterdam scheduled to depart at the same time it took off on time and another klm flight to amsterdam later the evening also took off without any problem it just the one operated by british airway wa cancelled because of the bad weather apparently the weather wa so bad that every plane could land and take off successfully apart from theirs i had to rebook myself on the eurostar the next day and would still miss the important appointment that i intended to go to amsterdam for all thanks to british airway,0.01029411764705885,positive
economy class,1.0,1.0,3.0,1.0,1,no,2024,12,winter,trip verified the flight time wa changed at the last minute without warning and no assistance wa provided by the ground staff 3rd party agent regarding the impact for the delay nor wa any help forthcoming from the phoneline nobody in the airline want to take responsibility for anything this is fundamentally an unreliable airline onboard service wa poor and not even a good a some low cost airline,0.059999999999999984,positive
economy class,2.0,2.0,1.0,1.0,1,no,2024,8,summer,trip verified im so fraustrated my flight wa cancelled last minute which wasnt the end of the world even though the earliest i could get rebooked wa three day later it the insane saga of event that proceeded to claim the compensation that im legally entitled to according to eu rule used their claim page and all wa ok it wa from there that it became incomprehensibly frustrating my case wa closed but no confirmation of what the conclusion wa or any money i tried calling but kept being lead in circle customer service cant speak to the claim team the claim team cant be spoken to directly customer service dont have access to the claim team system and so on 4 call later and nothing could be done i had to throw my toy out of the pram on the last call and someone finally updated me i thought that wa the end they had confirmed the claim and that i would be transferred what i wa due and then they got the amount wrong i wrote to they to highlight this and they said that they would rectify it almost 1 month since the original flight wa cancelled and still havent received what is owed to me a compensation for my wife and son i have sent two more email in the last two day and ive yet to get a response it is criminal that they are not adhering to the aviation rule that dictate compensation for cancelled flight terrible customer service and honestly cant belive that ba are capable of such awful service,-0.07173913043478261,negative
economy class,1.0,1.0,1.0,1.0,1,no,2024,11,fall,trip verified we have sat on this plane for an hour and forty five minute awaiting takeoff due to bad weather in london this is understandable for safety fortunately i have a long layover so this delay doe not affect me however many others are not so lucky while waiting we were given one small bottle of water and one tiny pack of corn kernel later food and drink were offered for purchase this is my complaint after sitting idle on this plane for nearly two hour and possibly missing connecting flight they cant give u a free bag of chip and a coke when i asked i wa told no is british airway really this cheap and money grubbing,0.04427083333333334,positive
economy class,2.0,1.0,1.0,3.0,1,no,2024,11,fall,not verified british airway stranding my wife and i at heathrow airport for 25 day with no access to our baggage we we told by airline employee to purchase any necessity toiletry refreshment etc and wed be reimbursed that claim wa denied with ba claiming that weather wa the reason for the delay an outright lie since every other airline in london wa flying ontime we were unable to to anything besides stand in line for voucher stand in line for shuttle stand in line for reservation etc for 48 hour it wa an absolute nightmare and i will never fly ba again,-0.16499999999999998,negative
economy class,2.0,3.0,2.0,1.0,3,no,2024,10,fall,trip verified although like many these day i avoid ba on long haul from london heathrow due to my perception of poor service and lack of customer service if thing go wrong i wa pleasantly surprised by my recent flight to belfast the aircraft actually left on time and arrived ahead of schedule the cabin crew looked bored and uninspired a they can often do on ba i read at time but that didnt really matter it wa a quiet flight so i say myself at the emergency exit unchallenged which wa handy would fly again with ba where pressed,0.008928571428571421,positive
economy class,3.0,2.0,3.0,5.0,5,no,2024,11,fall,trip verified this flight wa british airway at it very best the flight attendant were outstanding processional attentive and helpful the food wa very good and the seatlie flat bed wa very comfortable i love to smart design of the a350 club world cabin wonderful flight home,0.4744805194805195,positive
business class,5.0,5.0,5.0,3.0,4,yes,2024,11,fall,not verified the worst airline i have ever flown with they cancelled my flight 3 hour before departure and didnt even contact me they didnt put me on a new flight i had to rebook myself for the next day and i wa also left to find my own accommodation which wa a nightmare and have been refused compensation and i wa left stranded onboard service are also archaic and outdated and the plane are the oldest out of any airline ive flown with food and service wa the worst ive ever experienced and ive travelled on most airline emirate etihad thai malaysian qantas cathay ua etc do not fly with ba,-0.0694214876033058,negative
economy class,1.0,1.0,1.0,1.0,2,no,2024,10,fall,trip verified disappointing service plane interior and terribly incompetent customer service i booked my flight directly through ba website soon after i started to get email saying my selected seat i paid extra for the selection had been changed by ba without any reason given and i wa directed to the website there i found no information on the said seat change this happened several time i had 4 flight altogether the website seems to be a digital dinosaur the first leg of my flight wa fine until i discovered in the transfer area at heathrow that i forgot my new laptop onboard immediately i contacted ba so called customer service what an oxymoron which basically said they can not do anything i would have to wait until the cleaner working for a contractor would have finished their job and hope they would discover the laptop and return it to so called lost found at the airport ba customer service said they couldnt contact their colleague in the terminalgate were the plane wa still and let them know there wa a lost laptop by seat no 27a of the plane yes i told them exactly were the laptop wa they wouldnt take any contact detail either to notify me if and when the laptop would be returned and they refused to register the incident they simply had no interest in assisting me and didnt even make an attempt to pretend they did communication via their online customer service wa poor and they didnt even respond to my message in the end i emailed the representative at heathrow and he replied with a message form his supervisor which did not reveal his name it is not the duty of british airway to find lost property on behalf of our passenger however if you would like to dispute this you can contact customer relation online with further feedback they took no responsibility and referred me to smartecarte which is the contractor cleaning their plane and apparently collecting lost item at heathrow i have not received the laptop worth 2 thousand gbp back now 3 week later the flight between london and cape town 12 hour were unpleasant the flight attendant were seemingly unenthusiastic about their job it took up to an hour to collect the trash after the meal which also wa distributed extremely slowly food wa not good boarding wa slow and inefficient drink were only offered twice otherwise youd have to ask for it especially on this long flight the seat were of fabric uncomfortable and room too scarce to relax and sleep all in all flying with british airway wa disappointing and i will not be keen on flying with them again,-0.08265412748171369,negative
economy class,2.0,2.0,1.0,1.0,2,no,2024,10,fall,trip verified a transit visa is required for my partner to transit via london to iceland so i had to buy a separate ticket for her via another airline when we reach iceland i emailed british airway telling then she wont be using her return ticket and requested for a partial refund 2 day later i received an email from customer service that i need to contact one of their service centre via the provided link i replied to say the link only go to a page with various british landline phone number to call and explained that i am overseas then and it will not be practical to do this via international call they replied to say i can only do this by contacting the service centre so the airline end up taking my money regardless,-0.0125,negative
economy class,2.0,2.0,1.0,1.0,3,no,2024,10,fall,trip verified i wa surprised to receive confirmation preflight that i had 69 kg luggage allowance this to be later confirmed a one at 23 kg checked in another 23 kg carry on for under seat and a third 23 kg carry on for overhead stowage checkin opened a bit late and the line for executive club member even later but wa courteous and efficient long queue for passport control but the fault of brexit not ba my seat had no screen no earphone socket no charge point no seat recline no boarding music all the same a low cost carrier captain announced wonderful service from emily and crew maybe it wa in club class not the economy cabin it wa announced that they would serve complimentary water and snack but only the snack came it wa also announced there would be free text messaging for exec club member but i couldnt get it to work although a member snack were sold some at twice tui price for example cadburys chocolate finger at 350 i chose ba this time a when i booked it wa cheaper than all the charter carrier and being british i mustnt forget ba impeccable safety record and normally reliable service after landing the purser thanked the crew for their hard work seems pushing one small cart down the aisle during four hour constitutes hard work in ba but at least we were on time,0.0936868686868687,positive
economy class,2.0,2.0,1.0,3.0,4,no,2024,10,fall,trip verified flight cancelled not refunding our money saying we took the flight that never happened not refunding the new flight we booked hotel food while we were stranded did not provide food or water while waiting for hour on tarmac will not provide information a to why they arent refunding the flight that never happened saying there is no more information,-0.05681818181818182,negative
economy class,1.0,3.0,3.0,1.0,1,no,2024,8,summer,trip verified i had visa issue and hence wa debarred from flying the ground staff at mumbai wa excellent a woman named brinelle wa very helpful and understanding i had to rebook my ticket and while the original journey wa consisting of 3 leg ba forced me to rebook the entire ticket because their system did not allow them to rebook just that one leg even though there wa a gap of 13 day between the two leg not like they were connecting flight the telephone operator wa rude took 45 minute and kept saying she needed 34 more minute to give me clarity it wa horrendous the final price they offered me for rebooking 2 of the 3 leg wa much more than the original fare for all 3 leg she wa torturous ba wa horrendous because the website doe not allow you to do all this a very poor experience in all,0.16636363636363632,positive
premium economy,2.0,2.0,3.0,4.0,1,no,2024,11,fall,trip verified singapore to heathrow with ba two choice on this route a380 or 777300 in economy and premium and first there isnt much in it in club world the 777 win a it ha the suite check in wa easy security and passport control in singapore is efficient choice of 3 lounge ba qantas or qatar the latter win easily ba lounge wa ok no major negative qantas win on space boarding wa on time the aircraft ha a high density club world cabin service wa fine club suite wa good it the food and beverage that are being targeted i feel the 1st meal starter wa good main of beef fillet wa average same sentiment for cheese wine were acceptable champagne choice is cheap so i did not try service for meal efficient given the full cabin breakfast wa similar the menu suggested that some might want to skip a main course and opt for starter and dessert for this to work for ba a major shift in how lounge option are sourced and presented would be needed a it wa i slept well we arrived early luggage off quickly for once so a reasonable flight overall my warning to ba is that food and beverage in club world are drifting in the wrong direction,0.24968750000000003,positive
business class,5.0,4.0,3.0,5.0,3,yes,2024,11,fall,trip verified i recently travelled from munich to london with british airway and it turned into an absolute nightmare our trouble began with their malfunctioning app despite checking in successfully i wa unable to retrieve our boarding pass upon arrival at the airport we discovered that there were no selfservice kiosk and the checkin desk were completely unattended after seeking help from the information desk we were directed to a staff member who clearly did not want to assist u her dismissive attitude wa infuriating and despite showing her the app indicating we were checked in she simply told u to call customer service and walked away without providing any assistance after being put on hold for 25 minute and being sent to several different staff member who couldnt help u we finally reached someone on the phone who wa kind but ultimately powerless to resolve our issue by this point our flight wa delayed and we had wasted two hour just trying to print our boarding pass when i followed up with a complaint british airway basically dismissed my concern and told me to use the app next timeignoring the fact that it wa the apps failure that caused all these problem in the first place this experience cost u a staggering 68243 in additional expense including new flight hotel stay taxi fare and fine missing work and explaining this absurd situation to my employer wa incredibly embarrassing british airway clearly need to improve it customer service and technology if their app and website are going to fail they must provide adequate support at the airport i will never fly with them again and i urge others to consider alternative airline,-0.03601010101010102,negative
economy class,2.0,3.0,3.0,1.0,1,no,2024,10,fall,not verified i paid for seat 80 a and b on my flight from heathrow to boston on the a380 paying for premium economy seat upon arrival at the airport the ticket agent said i wa not healthy enough to sit in the purchased seat due to being too old i presume 65 since there is no other reason i can find i could not sit in the exit seating i am healthy enough to walk 1012 mile a day and have adequate upper body strength attempting to convince her just got u stuck in a cattle call seat at the rear of the aircraft second floor and in the middle two seat of the row we were told our money would be refunded immediately for the inconvenience after several week i recontacted ba and they said the complaint went to the wrong section and they were forwarding it to the next section 6 week later and we still have not heard any update except for a computer response stating most refund were returned in 3 week keep waiting the plane then had ground difficulty and needed a quick repair they completed that 30 minute later and boarded the flight the captain then came on and said it look like they forgot to order the ground crew to back u out of the terminal and we needed to wait another 30 minute we were not able to make up for the lost time in the air we landed 15 hour later than scheduled wreaking havoc with our next flight,0.017572463768115942,positive
premium economy,2.0,5.0,3.0,1.0,1,no,2024,9,fall,not verified the flight wasnt that bad although the inflight entertainment wasnt great the screen wa very oldfashioned it wa hard to operate in the dark a the touch screen wasnt working at time there wa though a remote the cabin crew slamming air larder oven and draw apart from that the cabin crew were nice the food wa good and the seat wa comfortable,0.16203703703703706,positive
economy class,3.0,4.0,3.0,4.0,3,yes,2024,11,fall,trip verified i decided to treat myself and my teenage daughter to world traveller plus on the return leg of our canada holiday paying hundred of pound extra to do so only to end up spending nine and a half hour trapped in a broken seat staring at a blank screen after both our entertainment system failed to work i hadnt bought a book or uploaded a film because i had assumed i would be enjoying the entertainment ba had promised so i decided to lie back and get some rest instead only to discover that the leg rest on my seat didnt work the flight attendant wa able to prop it up manually by shoving thing underneath but unfortunately this only made matter worse because it became firmly stuck in the up position forcing my body into an awkward position during the descent when i had to keep my seatback upright leaving me with back pain that lasted three day i have a bad lower back early on in this experience i asked to be moved to economy so that i could sit normally and watch a film but the flight wa full and there wa no space the apologetic flight attendant assured me i would receive compensation which i assumed meant the airline would at the very least upgrade u the next time we flew ba since we had been unable to enjoy any of the advertised benefit of world traveller plus the two of u only had one suitcase each so hadnt made use of the extra baggage allowance ba actual compensation offer 25 worth of avios point each i wrote back since ba doesnt allow you to have any direct telephone contact with their complaint department explaining firmly but politely that this wa not fair or acceptable given the hundred of extra pound id paid for added extra the airline had failed to deliver they then ghosted me my experience is a cautionary tale about british airway customer support if all go to plan you may well have a very pleasant world traveller plus experience but if anything should go wrong support staff will wash their hand of you and your money will have been wasted so unless youre prepared to gamble i would advise you to either stick with economyworld traveller since then youre only really paying to fly from a to b which they do manage to do or fly with another airline or you could end up like me throwing away extra money on an experience that fell far below the standard of economy class if your flight is to canada i would recommend an airline such a air canada which i turned to during the uncertainty of the covid pandemic because of their exceptional customer service and fast nononsense refund they do cost a bit more so when life returned to normal postcovid i started flying ba again believing such high standard of customer service were no longer important i now see that this wa both a mistake and a false economy one that ha ended up costing me hundred of wasted pound,0.008306878306878308,positive
premium economy,1.0,5.0,3.0,1.0,1,no,2024,8,summer,not verified i wa very impressed with their efficient boarding the relatively compared to air canada comfortable seat and the quality of the food drink and snack frequently offered overall a no fuss no bother experience,0.3,positive
economy class,4.0,5.0,5.0,5.0,4,yes,2024,9,fall,not verified the flight scheduled at 1840 left 2hours 40 minute alter due to late arrival of incoming aircraft from naples a a result i missed a connection from istanbul to dubai nothing unusual the issue acknowledged by the captain is that the plane had been late since the morning flight from rome with rolling effect until the evening a this wa the case whey did ba not contact me and all other passenger i could have made other arrangement and fly early to istanbul and not miss my connection resulting in a 300 charge and a long delay ba ha certainly lot of staff who could have informed by using the email or text obviously passenger are of no utility to ba once the ticket is purchased who can trust ba to travel not me now after such poor handling of a simple matter,-0.0073809523809523735,negative
economy class,3.0,3.0,1.0,1.0,1,no,2024,10,fall,trip verified i have been flying ba for over 15 year i wa an american airline ff and gave it up for ba i am a gold member on ba and have been for over 10 year here are the thing i have noticed over the last 5 year on ba the flight attendant are getting lazier and complacent from cleaning bathroom to serving meal the food on ba ha deteriorated to the point of not being able to eat the garbage they give you and having gold status is almost meaningless in the big scheme of thing i have never been able to upgrade to business or first using the avios point i have accumulated on a transcon flight i fly ba now because it the only partner of american airllines that i can easily get to europe i have switched back to aa ff program and is already so much better ba used to be a splendid airline and now it just another poor airline in the european market,0.18333333333333335,positive
business class,3.0,2.0,1.0,3.0,2,no,2024,10,fall,trip verified on arriving at mexico airport we were told that the flight wa delayed because the aircraft had broken down and the replacement aircraft from lhr wa about six hour late when we eventually managed to check in we told that contrary to the ba website we could not have access to the 24hour grand lounge elite and instead would use the american airline admiral club lounge which would close three hour before the flight left after that we would have to use a restaurant and were given a food voucher two hour before the flight wa due to leave were then informed that the aircraft had diverted to cancun because of a volcanic ash cloud over mexico city although it did not appear to be affecting other flight into the airport including those from europe they eventually arranged taxi to take u to a hotel and we arrived at 130am we were assured that we would all be on a ba flight leaving the same time the following day the only contact after that wa a local employee who stayed at the hotel he said that he wa there to organise transport and refused to give u any other contact detail when we eventually did need transport the following day he had disappeared during the night we were then sent an email telling u that we were booked onto an air canada flight leaving at 630am this would have been impossible with such short notice and without canadian epa authorisation we then spent two hour trying to make contact with ba it mexico number did not work and eventually we were put on an aeromexico flight in economy they told u to check in a soon a we could but this meant we had to pay an extra 200 for the seat later after a very long call we were told that we could be upgraded to business with aeromexico despite having been told earlier that there wa no availability ba then informed u that because we had already checked in a they had suggested we could not be moved and this took three more call to aeromexico to sort out i totally understand that aircraft break down but the onus should be on the airline to rearrange and not the passenger we were lucky because we took the trouble of making the call to the uk but others such a a disabled lady had been told nothing when we left,-0.04281481481481482,negative
business class,1.0,1.0,3.0,1.0,1,no,2024,10,fall,trip verified i have flown british airway for many year and still do so regularly in one of my last flight this past summer between paris and boston british booked me on a connecting flight between paris and london that gave me a maximum of 90 minute to connect in london london heathrow is a massive airport where going from terminal to terminal could take 2030 minute once you deplane not including the actual time to deplane if you are seated in the back and line at passport control and security between terminal so already one is pressed for time my flight from paris to london that day wa tardy 49 minute tardy that day to be exact ba flight 323 in fact is routinely tardy dont bother with this one flight connection assisted me by calling the new gate to let them know my previous flight had been delayed and that i wa rushing to the gate it wa 30 minute before my connecting flight wa to depart i ran like a fool for 25 minute carryons and all arriving to the gate 5 minute before my flight wa to depart only to be greeted by no plane the agent said that since no one knew where i wa false the plane left without me early gaining a few minute wa more important than an passenger inconvenienced by their own delay so i made the 20 minute trek back to flight connection knowing that they would have to rebook me the following day i wa now going to miss the wedding i wa destined to attend in boston they sent me to a prepaid hilton hotel room for the night but told me that i would have to pay 30 pound each way for a taxi to take me there they gave me a pamphlet with instruction for reimbursement this wa in early july it took me 4 month and a complaint to the british centre for effective dispute resolution to be reimbursed for the equivalent of 77 there wa no apology no recognition not even a free drink coupon for that next flight i wont ever take with british like a bad insurance claim british just kept denying my claim expecting that i would just go away well i am going away im taking my 77 and using another airline for future travel,0.04905303030303031,positive
business class,1.0,1.0,3.0,1.0,2,no,2024,7,summer,not verified we bought ticket for a genevalondon flight but when we got to the airport we were told that the airline had oversold ticket on our flight and that passenger on an earlier cancelled flight had been given seat on our flight explanation it is allowed,0.0,neutral
economy class,3.0,3.0,3.0,1.0,1,no,2024,9,fall,trip verified appalling service with failing defective fleet of a380 aircraft flown four time on this route or return and significant delay of 2 to 26 hour every time ba56 boarded 620pm on 13 october flight cancelled for technical reason six hour to return through custom and recover bag no ba management at all at johannesburg that night further four hour to organise a hotel and transfer with queue of 300 people to check in room eventually accessed 430am no attempt to reschedule or assist pilot trying to announce process,0.0062500000000000056,positive
